date,daily_usage_liters,hourly_variance,spike_percent,night_usage_liters,historical_avg,label
2026-01-01,320,0.45,8,25,300,0
2026-01-02,340,0.50,12,28,310,0
2026-01-03,360,0.60,18,30,315,0
2026-01-04,410,0.75,25,35,330,1
2026-01-05,390,0.65,22,33,325,1
2026-01-06,305,0.40,5,22,295,0
2026-01-07,298,0.35,4,20,290,0
2026-01-08,450,0.85,35,45,340,1
2026-01-09,470,0.90,40,50,350,1
2026-01-10,315,0.42,7,24,300,0
2026-01-11,330,0.48,10,26,305,0
2026-01-12,520,1.10,55,65,360,1
2026-01-13,540,1.20,60,70,370,1
2026-01-14,290,0.30,3,18,285,0
2026-01-15,275,0.28,2,16,280,0
2026-01-16,480,0.95,42,52,345,1
2026-01-17,500,1.05,48,60,355,1
2026-01-18,310,0.44,9,23,300,0
2026-01-19,295,0.38,6,21,290,0
2026-01-20,560,1.30,70,75,380,1
2026-01-21,580,1.40,75,80,390,1
2026-01-22,305,0.41,8,24,295,0
2026-01-23,315,0.43,9,25,300,0
2026-01-24,600,1.50,85,90,400,1
2026-01-25,620,1.60,90,95,410,1
